,city,population,provincia,ccaa
0,Madrid,3266126,Madrid,Comunidad de Madrid
1,Barcelona,1636762,Barcelona,Cataluña
2,Valencia,794288,Valencia,Comunidad Valenciana
3,Sevilla,688592,Sevilla,Andalucía
4,Zaragoza,674997,Zaragoza,Aragón
5,Málaga,574654,Málaga,Andalucía
6,Murcia,453258,Murcia,Región de Murcia
7,Palma,416065,Islas Baleares,Islas Baleares
8,Las Palmas de Gran Canaria,379925,Las Palmas,Canarias
9,Bilbao,346843,Vizcaya,País Vasco
10,Alicante,334887,Alicante,Comunidad Valenciana
11,Córdoba,325701,Córdoba,Andalucía
12,Valladolid,298412,Valladolid,Castilla y León
13,Vigo,295364,Pontevedra,Galicia
14,Gijón,271780,Asturias,Principado de Asturias
15,Hospitalet de Llobregat,264923,Barcelona,Cataluña
16,Vitoria,251774,Álava,País Vasco
17,La Coruña,245711,La Coruña,Galicia
18,Elche,232517,Alicante,Comunidad Valenciana
19,Granada,232462,Granada,Andalucía
20,Tarrasa,220556,Barcelona,Cataluña
21,Badalona,220440,Barcelona,Cataluña
22,Oviedo,219686,Asturias,Principado de Asturias
23,Cartagena,214802,Murcia,Región de Murcia
24,Sabadell,213644,Barcelona,Cataluña
25,Jerez de la Frontera,212749,Cádiz,Andalucía
26,Móstoles,209184,Madrid,Comunidad de Madrid
27,Santa Cruz de Tenerife,207312,Santa Cruz de Tenerife,Canarias
28,Pamplona,201653,Navarra,Navarra
29,Almería,198533,Almería,Andalucía
30,Alcalá de Henares,195649,Madrid,Comunidad de Madrid
31,Fuenlabrada,193700,Madrid,Comunidad de Madrid
32,Leganés,189861,Madrid,Comunidad de Madrid
33,San Sebastián,187415,Guipúzcoa,País Vasco
34,Getafe,183374,Madrid,Comunidad de Madrid
35,Burgos,175821,Burgos,Castilla y León
36,Albacete,173329,Albacete,Castilla-La Mancha
37,Santander,172539,Cantabria,Cantabria
38,Castellón de la Plana,171728,Castellón,Comunidad Valenciana
39,Alcorcón,170514,Madrid,Comunidad de Madrid
40,San Cristóbal de La Laguna,157503,Santa Cruz de Tenerife,Canarias
41,Logroño,151136,La Rioja,La Rioja
42,Badajoz,150702,Badajoz,Extremadura
43,Salamanca,144228,Salamanca,Castilla y León
44,Huelva,143663,Huelva,Andalucía
45,Marbella,143386,Málaga,Andalucía
46,Lérida,138956,Lérida,Cataluña
47,Tarragona,134515,Tarragona,Cataluña
48,Dos Hermanas,133968,Sevilla,Andalucía
49,Torrejón de Ardoz,131376,Madrid,Comunidad de Madrid
50,Parla,130124,Madrid,Comunidad de Madrid
51,Mataró,128265,Barcelona,Cataluña
52,León,124303,León,Castilla y León
53,Algeciras,121957,Cádiz,Andalucía
54,Santa Coloma de Gramanet,119215,Barcelona,Cataluña
55,Alcobendas,117040,Madrid,Comunidad de Madrid
56,Cádiz,116027,Cádiz,Andalucía
57,Jaén,112999,Jaén,Andalucía
58,Orense,105233,Orense,Galicia
59,Reus,104373,Tarragona,Cataluña
60,Telde,102647,Las Palmas,Canarias
61,Gerona,101852,Gerona,Cataluña
62,Baracaldo,100881,Vizcaya,País Vasco
