,crime,quantity,year,trimester,city
0,    1.-Homicidios dolosos y asesinatos consumados,0,2019,1,Córdoba
1,    2.-Homicidios dolosos y asesinatos en grado tentativa,0,2019,1,Córdoba
2,    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,18,2019,1,Córdoba
3,    4.-Secuestro,1,2019,1,Córdoba
4,    5.-Delitos contra la libertad e indemnidad sexual,32,2019,1,Córdoba
5,    5.1.-Agresión sexual con penetración,4,2019,1,Córdoba
6,    5.2.-Resto de delitos contra la libertad e indemnidad sexual,28,2019,1,Córdoba
7,    6.-Robos con violencia e intimidación,79,2019,1,Córdoba
8,"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",156,2019,1,Córdoba
9,    7.1.-Robos con fuerza en domicilios,92,2019,1,Córdoba
10,    8.-Hurtos,1094,2019,1,Córdoba
11,    9.-Sustracciones de vehículos,73,2019,1,Córdoba
12,    10.-Tráfico de drogas,32,2019,1,Córdoba
13,    Resto de infracciones penales,2344,2019,1,Córdoba
14,    1.-Homicidios dolosos y asesinatos consumados,2,2019,1,Málaga
15,    2.-Homicidios dolosos y asesinatos en grado tentativa,4,2019,1,Málaga
16,    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,54,2019,1,Málaga
17,    4.-Secuestro,0,2019,1,Málaga
18,    5.-Delitos contra la libertad e indemnidad sexual,36,2019,1,Málaga
19,    5.1.-Agresión sexual con penetración,1,2019,1,Málaga
20,    5.2.-Resto de delitos contra la libertad e indemnidad sexual,35,2019,1,Málaga
21,    6.-Robos con violencia e intimidación,177,2019,1,Málaga
22,"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",253,2019,1,Málaga
23,    7.1.-Robos con fuerza en domicilios,173,2019,1,Málaga
24,    8.-Hurtos,2584,2019,1,Málaga
25,    9.-Sustracciones de vehículos,187,2019,1,Málaga
26,    10.-Tráfico de drogas,81,2019,1,Málaga
27,    Resto de infracciones penales,3235,2019,1,Málaga
28,    1.-Homicidios dolosos y asesinatos consumados,0,2019,1,Sevilla
29,    2.-Homicidios dolosos y asesinatos en grado tentativa,5,2019,1,Sevilla
30,    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,53,2019,1,Sevilla
31,    4.-Secuestro,2,2019,1,Sevilla
32,    5.-Delitos contra la libertad e indemnidad sexual,77,2019,1,Sevilla
33,    5.1.-Agresión sexual con penetración,7,2019,1,Sevilla
34,    5.2.-Resto de delitos contra la libertad e indemnidad sexual,70,2019,1,Sevilla
35,    6.-Robos con violencia e intimidación,437,2019,1,Sevilla
36,"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",739,2019,1,Sevilla
37,    7.1.-Robos con fuerza en domicilios,265,2019,1,Sevilla
38,    8.-Hurtos,4467,2019,1,Sevilla
39,    9.-Sustracciones de vehículos,320,2019,1,Sevilla
40,    10.-Tráfico de drogas,40,2019,1,Sevilla
41,    Resto de infracciones penales,6012,2019,1,Sevilla
42,    1.-Homicidios dolosos y asesinatos consumados,1,2019,1,Zaragoza
43,    2.-Homicidios dolosos y asesinatos en grado tentativa,1,2019,1,Zaragoza
44,    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,61,2019,1,Zaragoza
45,    4.-Secuestro,0,2019,1,Zaragoza
46,    5.-Delitos contra la libertad e indemnidad sexual,37,2019,1,Zaragoza
47,    5.1.-Agresión sexual con penetración,5,2019,1,Zaragoza
48,    5.2.-Resto de delitos contra la libertad e indemnidad sexual,32,2019,1,Zaragoza
49,    6.-Robos con violencia e intimidación,230,2019,1,Zaragoza
50,"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",300,2019,1,Zaragoza
51,    7.1.-Robos con fuerza en domicilios,187,2019,1,Zaragoza
52,    8.-Hurtos,2074,2019,1,Zaragoza
53,    9.-Sustracciones de vehículos,44,2019,1,Zaragoza
54,    10.-Tráfico de drogas,49,2019,1,Zaragoza
55,    Resto de infracciones penales,3782,2019,1,Zaragoza
56,    1.-Homicidios dolosos y asesinatos consumados,0,2019,1,Gijón
57,    2.-Homicidios dolosos y asesinatos en grado tentativa,0,2019,1,Gijón
58,    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,27,2019,1,Gijón
59,    4.-Secuestro,0,2019,1,Gijón
60,    5.-Delitos contra la libertad e indemnidad sexual,14,2019,1,Gijón
61,    5.1.-Agresión sexual con penetración,0,2019,1,Gijón
62,    5.2.-Resto de delitos contra la libertad e indemnidad sexual,14,2019,1,Gijón
63,    6.-Robos con violencia e intimidación,25,2019,1,Gijón
64,"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",82,2019,1,Gijón
65,    7.1.-Robos con fuerza en domicilios,49,2019,1,Gijón
66,    8.-Hurtos,606,2019,1,Gijón
67,    9.-Sustracciones de vehículos,12,2019,1,Gijón
68,    10.-Tráfico de drogas,21,2019,1,Gijón
69,    Resto de infracciones penales,1062,2019,1,Gijón
70,    1.-Homicidios dolosos y asesinatos consumados,0,2019,1,Palma
71,    2.-Homicidios dolosos y asesinatos en grado tentativa,5,2019,1,Palma
72,    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,64,2019,1,Palma
73,    4.-Secuestro,0,2019,1,Palma
74,    5.-Delitos contra la libertad e indemnidad sexual,66,2019,1,Palma
75,    5.1.-Agresión sexual con penetración,5,2019,1,Palma
76,    5.2.-Resto de delitos contra la libertad e indemnidad sexual,61,2019,1,Palma
77,    6.-Robos con violencia e intimidación,153,2019,1,Palma
78,"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",218,2019,1,Palma
79,    7.1.-Robos con fuerza en domicilios,147,2019,1,Palma
80,    8.-Hurtos,2109,2019,1,Palma
