
Balances trimestrales de criminalidad - 2019. 1er Trimestre
Indicadores de seguridad 2019 - 1er Trimestre por geografía,  tipología penal y periodos.
Unidades: Hechos conocidos

;Enero-marzo 2019;
- Municipio de Córdoba;
    1.-Homicidios dolosos y asesinatos consumados;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;18.0;
    4.-Secuestro;1.0;
    5.-Delitos contra la libertad e indemnidad sexual;32.0;
    5.1.-Agresión sexual con penetración;4.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;28.0;
    6.-Robos con violencia e intimidación;79.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;156.0;
    7.1.-Robos con fuerza en domicilios;92.0;
    8.-Hurtos;1094.0;
    9.-Sustracciones de vehículos;73.0;
    10.-Tráfico de drogas;32.0;
    Resto de infracciones penales;2344.0;
- Municipio de Málaga;
    1.-Homicidios dolosos y asesinatos consumados;2.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;4.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;54.0;
    4.-Secuestro;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;36.0;
    5.1.-Agresión sexual con penetración;1.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;35.0;
    6.-Robos con violencia e intimidación;177.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;253.0;
    7.1.-Robos con fuerza en domicilios;173.0;
    8.-Hurtos;2584.0;
    9.-Sustracciones de vehículos;187.0;
    10.-Tráfico de drogas;81.0;
    Resto de infracciones penales;3235.0;
- Municipio de Sevilla;
    1.-Homicidios dolosos y asesinatos consumados;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;5.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;53.0;
    4.-Secuestro;2.0;
    5.-Delitos contra la libertad e indemnidad sexual;77.0;
    5.1.-Agresión sexual con penetración;7.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;70.0;
    6.-Robos con violencia e intimidación;437.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;739.0;
    7.1.-Robos con fuerza en domicilios;265.0;
    8.-Hurtos;4467.0;
    9.-Sustracciones de vehículos;320.0;
    10.-Tráfico de drogas;40.0;
    Resto de infracciones penales;6012.0;
- Municipio de Zaragoza;
    1.-Homicidios dolosos y asesinatos consumados;1.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;1.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;61.0;
    4.-Secuestro;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;37.0;
    5.1.-Agresión sexual con penetración;5.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;32.0;
    6.-Robos con violencia e intimidación;230.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;300.0;
    7.1.-Robos con fuerza en domicilios;187.0;
    8.-Hurtos;2074.0;
    9.-Sustracciones de vehículos;44.0;
    10.-Tráfico de drogas;49.0;
    Resto de infracciones penales;3782.0;
- Municipio de Gijón;
    1.-Homicidios dolosos y asesinatos consumados;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;27.0;
    4.-Secuestro;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;14.0;
    5.1.-Agresión sexual con penetración;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;14.0;
    6.-Robos con violencia e intimidación;25.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;82.0;
    7.1.-Robos con fuerza en domicilios;49.0;
    8.-Hurtos;606.0;
    9.-Sustracciones de vehículos;12.0;
    10.-Tráfico de drogas;21.0;
    Resto de infracciones penales;1062.0;
- Municipio de Palma;
    1.-Homicidios dolosos y asesinatos consumados;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;5.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;64.0;
    4.-Secuestro;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;66.0;
    5.1.-Agresión sexual con penetración;5.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;61.0;
    6.-Robos con violencia e intimidación;153.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;218.0;
    7.1.-Robos con fuerza en domicilios;147.0;
    8.-Hurtos;2109.0;
    9.-Sustracciones de vehículos;128.0;
    10.-Tráfico de drogas;28.0;
    Resto de infracciones penales;3708.0;
- Municipio de Palmas de Gran Canaria (Las);
    1.-Homicidios dolosos y asesinatos consumados;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;3.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;62.0;
    4.-Secuestro;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;66.0;
    5.1.-Agresión sexual con penetración;2.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;64.0;
    6.-Robos con violencia e intimidación;75.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;112.0;
    7.1.-Robos con fuerza en domicilios;56.0;
    8.-Hurtos;1250.0;
    9.-Sustracciones de vehículos;64.0;
    10.-Tráfico de drogas;31.0;
    Resto de infracciones penales;2598.0;
- Municipio de Valladolid;
    1.-Homicidios dolosos y asesinatos consumados;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;2.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;30.0;
    4.-Secuestro;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;17.0;
    5.1.-Agresión sexual con penetración;3.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;14.0;
    6.-Robos con violencia e intimidación;21.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;127.0;
    7.1.-Robos con fuerza en domicilios;57.0;
    8.-Hurtos;829.0;
    9.-Sustracciones de vehículos;21.0;
    10.-Tráfico de drogas;10.0;
    Resto de infracciones penales;1338.0;
- Municipio de Barcelona;
    1.-Homicidios dolosos y asesinatos consumados;1.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;13.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;848.0;
    4.-Secuestro;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;213.0;
    5.1.-Agresión sexual con penetración;26.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;187.0;
    6.-Robos con violencia e intimidación;3549.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;2346.0;
    7.1.-Robos con fuerza en domicilios;1241.0;
    8.-Hurtos;26836.0;
    9.-Sustracciones de vehículos;1294.0;
    10.-Tráfico de drogas;140.0;
    Resto de infracciones penales;14123.0;
- Municipio de Alicante/Alacant;
    1.-Homicidios dolosos y asesinatos consumados;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;30.0;
    4.-Secuestro;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;26.0;
    5.1.-Agresión sexual con penetración;2.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;24.0;
    6.-Robos con violencia e intimidación;108.0;
