
Balances trimestrales de criminalidad - 2019. 1er Trimestre
Indicadores de seguridad 2019 - 1er Trimestre por geografía,  tipología penal y periodos.
Unidades: Hechos conocidos

;Enero-marzo 2018;Enero-marzo 2019;Variación % 2019/2018;
ANDALUCÍA;
    1.-Homicidios dolosos y asesinatos consumados;16.0;15.0;-6.3;
    2.-Homicidios dolosos y asesinatos en grado tentativa;32.0;31.0;-3.1;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;651.0;725.0;11.4;
    4.-Secuestro;7.0;13.0;85.7;
    5.-Delitos contra la libertad e indemnidad sexual;493.0;599.0;21.5;
    5.1.-Agresión sexual con penetración;40.0;54.0;35.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;453.0;545.0;20.3;
    6.-Robos con violencia e intimidación;1687.0;1740.0;3.1;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;6330.0;5729.0;-9.5;
    7.1.-Robos con fuerza en domicilios;4260.0;3755.0;-11.9;
    8.-Hurtos;22540.0;21638.0;-4.0;
    9.-Sustracciones de vehículos;1759.0;1654.0;-6.0;
    10.-Tráfico de drogas;835.0;965.0;15.6;
    Resto de infracciones penales;44894.0;48351.0;7.7;
    TOTAL INFRACCIONES PENALES;79244.0;81460.0;2.8;
Provincia de ALMERÍA;
    1.-Homicidios dolosos y asesinatos consumados;3.0;2.0;-33.3;
    2.-Homicidios dolosos y asesinatos en grado tentativa;1.0;2.0;100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;80.0;80.0;0.0;
    4.-Secuestro;0.0;3.0;100.0;
    5.-Delitos contra la libertad e indemnidad sexual;42.0;70.0;66.7;
    5.1.-Agresión sexual con penetración;1.0;10.0;900.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;41.0;60.0;46.3;
    6.-Robos con violencia e intimidación;116.0;123.0;6.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;680.0;644.0;-5.3;
    7.1.-Robos con fuerza en domicilios;519.0;480.0;-7.5;
    8.-Hurtos;1611.0;1450.0;-10.0;
    9.-Sustracciones de vehículos;107.0;107.0;0.0;
    10.-Tráfico de drogas;74.0;86.0;16.2;
    Resto de infracciones penales;4054.0;4166.0;2.8;
    TOTAL INFRACCIONES PENALES;6768.0;6733.0;-0.5;
- Municipio de Almería;
    1.-Homicidios dolosos y asesinatos consumados;1.0;0.0;-100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;25.0;14.0;-44.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;15.0;11.0;-26.7;
    5.1.-Agresión sexual con penetración;0.0;2.0;100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;15.0;9.0;-40.0;
    6.-Robos con violencia e intimidación;57.0;35.0;-38.6;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;133.0;116.0;-12.8;
    7.1.-Robos con fuerza en domicilios;93.0;83.0;-10.8;
    8.-Hurtos;602.0;545.0;-9.5;
    9.-Sustracciones de vehículos;48.0;48.0;0.0;
    10.-Tráfico de drogas;30.0;27.0;-10.0;
    Resto de infracciones penales;1135.0;1203.0;6.0;
    TOTAL INFRACCIONES PENALES;2046.0;1999.0;-2.3;
- Municipio de Ejido (El);
    1.-Homicidios dolosos y asesinatos consumados;1.0;0.0;-100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;1.0;100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;16.0;15.0;-6.3;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;6.0;6.0;0.0;
    5.1.-Agresión sexual con penetración;0.0;1.0;100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;6.0;5.0;-16.7;
    6.-Robos con violencia e intimidación;16.0;22.0;37.5;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;109.0;66.0;-39.4;
    7.1.-Robos con fuerza en domicilios;74.0;39.0;-47.3;
    8.-Hurtos;203.0;192.0;-5.4;
    9.-Sustracciones de vehículos;10.0;22.0;120.0;
    10.-Tráfico de drogas;18.0;15.0;-16.7;
    Resto de infracciones penales;570.0;554.0;-2.8;
    TOTAL INFRACCIONES PENALES;949.0;893.0;-5.9;
- Municipio de Níjar;
    1.-Homicidios dolosos y asesinatos consumados;1.0;0.0;-100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;4.0;7.0;75.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;1.0;8.0;700.0;
    5.1.-Agresión sexual con penetración;0.0;1.0;100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;1.0;7.0;600.0;
    6.-Robos con violencia e intimidación;6.0;7.0;16.7;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;24.0;39.0;62.5;
    7.1.-Robos con fuerza en domicilios;18.0;31.0;72.2;
    8.-Hurtos;48.0;52.0;8.3;
    9.-Sustracciones de vehículos;1.0;1.0;0.0;
    10.-Tráfico de drogas;3.0;3.0;0.0;
    Resto de infracciones penales;189.0;275.0;45.5;
    TOTAL INFRACCIONES PENALES;277.0;392.0;41.5;
- Municipio de Roquetas de Mar;
    1.-Homicidios dolosos y asesinatos consumados;0.0;1.0;100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;8.0;15.0;87.5;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;7.0;13.0;85.7;
    5.1.-Agresión sexual con penetración;1.0;4.0;300.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;6.0;9.0;50.0;
    6.-Robos con violencia e intimidación;21.0;43.0;104.8;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;107.0;79.0;-26.2;
    7.1.-Robos con fuerza en domicilios;84.0;64.0;-23.8;
    8.-Hurtos;412.0;293.0;-28.9;
    9.-Sustracciones de vehículos;22.0;16.0;-27.3;
    10.-Tráfico de drogas;8.0;11.0;37.5;
    Resto de infracciones penales;828.0;816.0;-1.4;
    TOTAL INFRACCIONES PENALES;1413.0;1287.0;-8.9;
Provincia de CÁDIZ;
    1.-Homicidios dolosos y asesinatos consumados;2.0;2.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;10.0;5.0;-50.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;132.0;127.0;-3.8;
    4.-Secuestro;4.0;1.0;-75.0;
    5.-Delitos contra la libertad e indemnidad sexual;66.0;90.0;36.4;
    5.1.-Agresión sexual con penetración;4.0;9.0;125.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;62.0;81.0;30.6;
    6.-Robos con violencia e intimidación;216.0;188.0;-13.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;859.0;550.0;-36.0;
    7.1.-Robos con fuerza en domicilios;536.0;363.0;-32.3;
    8.-Hurtos;3124.0;2854.0;-8.6;
    9.-Sustracciones de vehículos;428.0;343.0;-19.9;
    10.-Tráfico de drogas;219.0;242.0;10.5;
    Resto de infracciones penales;6905.0;7354.0;6.5;
    TOTAL INFRACCIONES PENALES;11965.0;11756.0;-1.7;
- Municipio de Algeciras;
    1.-Homicidios dolosos y asesinatos consumados;0.0;1.0;100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;3.0;0.0;-100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;16.0;14.0;-12.5;
    4.-Secuestro;3.0;0.0;-100.0;
    5.-Delitos contra la libertad e indemnidad sexual;6.0;13.0;116.7;
    5.1.-Agresión sexual con penetración;0.0;1.0;100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;6.0;12.0;100.0;
    6.-Robos con violencia e intimidación;42.0;30.0;-28.6;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;54.0;62.0;14.8;
    7.1.-Robos con fuerza en domicilios;38.0;39.0;2.6;
    8.-Hurtos;279.0;267.0;-4.3;
