,crime,quantity
0,    1.-Homicidios dolosos y asesinatos consumados,14
1,    10.-Tráfico de drogas,1070
2,    2.-Homicidios dolosos y asesinatos en grado tentativa,55
3,    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,1831
4,    4.-Secuestro,6
5,    5.-Delitos contra la libertad e indemnidad sexual,1054
6,    5.1.-Agresión sexual con penetración,98
7,    5.2.-Resto de delitos contra la libertad e indemnidad sexual,956
8,    6.-Robos con violencia e intimidación,8320
9,"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",8638
10,    7.1.-Robos con fuerza en domicilios,4816
11,    8.-Hurtos,84669
12,    9.-Sustracciones de vehículos,3949
13,    Resto de infracciones penales,79114
