,Mes,Nom mes,Any,Regió Policial (RP),Àrea Bàsica Policial (ABP),Títol Codi Penal,Tipus de fet,Coneguts,Resolts,Detencions
0,1,gener,2013,RP  Metropolitana Nord,ABP Arenys de Mar,De l’omissió del deure d’auxili,Omissió del deure de socors,1,,
1,1,gener,2013,RP  Metropolitana Nord,ABP Arenys de Mar,De les falsedats,De la usurpació de l'estat civil,1,,
2,1,gener,2013,RP  Metropolitana Nord,ABP Arenys de Mar,De les falsedats,Falsedats documentals,5,4,
3,1,gener,2013,RP  Metropolitana Nord,ABP Arenys de Mar,De les falsedats,Usurpació de funcions públiques i intrusisme,1,,
4,1,gener,2013,RP  Metropolitana Nord,ABP Arenys de Mar,De les lesions,Lesions,25,22,10
5,1,gener,2013,RP  Metropolitana Nord,ABP Arenys de Mar,De les tortures i altres delictes contra la integritat moral,Tracte degradant / vexatori,3,4,2
6,1,gener,2013,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Apropiació indeguda,5,5,
7,1,gener,2013,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,28,2,
8,1,gener,2013,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Estafes,19,6,1
9,1,gener,2013,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt,40,12,5
10,1,gener,2013,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Ocupació immobles,1,,
11,1,gener,2013,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Receptació i altres conductes afins,1,1,2
12,1,gener,2013,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb força,115,17,16
13,1,gener,2013,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb força interior vehicle,20,1,
