,Mes,Nom mes,Any,Regió Policial (RP),Àrea Bàsica Policial (ABP),Títol Codi Penal,Tipus de fet,Coneguts,Resolts,Detencions
0,1,gener,2016,RP  Metropolitana Nord,ABP Arenys de Mar,De l’homicidi i les seves formes,Homicidi consumat,1,1,1
1,1,gener,2016,RP  Metropolitana Nord,ABP Arenys de Mar,De l’omissió del deure d’auxili,Omissió del deure de socors,1,,
2,1,gener,2016,RP  Metropolitana Nord,ABP Arenys de Mar,De les falsedats,Falsedats documentals,1,1,
3,1,gener,2016,RP  Metropolitana Nord,ABP Arenys de Mar,De les falsedats,Falsificació de moneda i efectes timbrats,4,3,
4,1,gener,2016,RP  Metropolitana Nord,ABP Arenys de Mar,De les lesions,Lesions,45,42,6
5,1,gener,2016,RP  Metropolitana Nord,ABP Arenys de Mar,De les tortures i altres delictes contra la integritat moral,Tracte degradant / vexatori,3,3,
6,1,gener,2016,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Apropiació indeguda,2,2,
7,1,gener,2016,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,110,13,
8,1,gener,2016,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Defraudacions de fluid elèctric i anàlogues,2,1,
9,1,gener,2016,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Estafes,60,5,1
10,1,gener,2016,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt,142,21,2
11,1,gener,2016,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Ocupació immobles,11,7,2
12,1,gener,2016,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb força,100,13,8
13,1,gener,2016,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb força interior vehicle,37,6,5
14,1,gener,2016,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb violència i/o intimidació,14,5,3
15,1,gener,2016,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori i furt d'us de vehicle,7,5,2
16,1,gener,2016,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra l’honor,Injúria,1,1,
17,1,gener,2016,RP  Metropolitana Nord,ABP Arenys de Mar,"Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili",Descobriment i revelació de secrets,1,,
18,1,gener,2016,RP  Metropolitana Nord,ABP Arenys de Mar,"Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili",Entrada a domicili aliè,1,1,1
19,1,gener,2016,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra la llibertat,Amenaces,25,28,4
20,1,gener,2016,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra la llibertat,Coaccions,10,7,
21,1,gener,2016,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra la llibertat i la indemnitat sexuals,Abusos sexuals,2,1,
22,1,gener,2016,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra la llibertat i la indemnitat sexuals,Exhibicionisme i provocació sexual,1,,
23,1,gener,2016,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra l'Administració de justícia,"Acusació, denúncia falsa i simulació de delictes",4,3,
24,1,gener,2016,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra l'Administració de justícia,Obstrucció a la justícia i deslleialtat professional,1,1,
25,1,gener,2016,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra l'Administració de justícia,Trencament de condemna,3,3,2
26,1,gener,2016,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra les relacions familiars,Contra els drets i deures familiars,5,5,
27,1,gener,2016,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra l'ordre públic,Altres delictes contra l'ordre públic,4,4,2
28,1,gener,2016,RP  Metropolitana Nord,ABP Arenys de Mar,Dels delictes contra la seguretat col·lectiva,Contra la salut pública,2,2,2
29,1,gener,2016,RP  Metropolitana Nord,ABP Arenys de Mar,"Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient","Protecció de la flora, fauna i animals domèstics",2,2,
30,1,gener,2016,RP  Metropolitana Nord,ABP Badalona,De les falsedats,De la usurpació de l'estat civil,1,,
31,1,gener,2016,RP  Metropolitana Nord,ABP Badalona,De les falsedats,Falsedats documentals,1,,
32,1,gener,2016,RP  Metropolitana Nord,ABP Badalona,De les falsedats,Falsificació de moneda i efectes timbrats,1,,
33,1,gener,2016,RP  Metropolitana Nord,ABP Badalona,De les lesions,Lesions,49,44,14
34,1,gener,2016,RP  Metropolitana Nord,ABP Badalona,De les tortures i altres delictes contra la integritat moral,Tracte degradant / vexatori,10,9,2
35,1,gener,2016,RP  Metropolitana Nord,ABP Badalona,Del tràfic d’éssers humans,Tràfic d'éssers humans,,1,3
36,1,gener,2016,RP  Metropolitana Nord,ABP Badalona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Apropiació indeguda,8,3,
37,1,gener,2016,RP  Metropolitana Nord,ABP Badalona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,142,13,
38,1,gener,2016,RP  Metropolitana Nord,ABP Badalona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Defraudacions de fluid elèctric i anàlogues,2,1,
39,1,gener,2016,RP  Metropolitana Nord,ABP Badalona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Estafes,94,11,
40,1,gener,2016,RP  Metropolitana Nord,ABP Badalona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt,379,84,13
41,1,gener,2016,RP  Metropolitana Nord,ABP Badalona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Ocupació immobles,23,17,1
42,1,gener,2016,RP  Metropolitana Nord,ABP Badalona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Receptació i altres conductes afins,1,1,
