,0
0,Homicidi consumat
1,Homicidi temptativa
2,De la usurpació de l'estat civil
3,Falsedats documentals
4,Falsificació de moneda i efectes timbrats
5,Lesions
6,Tracte degradant / vexatori
7,Apropiació indeguda
8,Danys
9,Estafes
10,Furt
11,Ocupació immobles
12,Receptació i altres conductes afins
13,Robatori amb força
14,Robatori amb força interior vehicle
15,Robatori amb violència i/o intimidació
16,Robatori i furt d'us de vehicle
17,Usurpació
18,Defraudacions de fluid elèctric i anàlogues
19,Injúria
20,Contra exercici drets fonamentals i llibertats públiques
21,Descobriment i revelació de secrets
22,Amenaces
23,Coaccions
24,Abusos sexuals
25,Agressions sexuals
26,"Acusació, denúncia falsa i simulació de delictes"
27,Obstrucció a la justícia i deslleialtat professional
28,Trencament de condemna
29,Contra els drets i deures familiars
30,Altres delictes contra l'ordre públic
31,Contra la salut pública
32,Homicidi per imprudència
33,Extorsió
34,Entrada a domicili aliè
35,Desordres públics
36,Organitzacions i grups criminals
37,Incendi
38,Detenció il·legal
39,Contra els drets dels treballadors
40,Contra el patrimoni històric
41,"Protecció de la flora, fauna i animals domèstics"
42,Usurpació de funcions públiques i intrusisme
43,Calúmnia
44,Exhibicionisme i provocació sexual
45,Assetjament sexual
46,Blanqueig de capitals
47,Contra els recursos naturals i el medi ambient
48,Hisenda pública i seguretat social
49,Propietat industrial
50,Omissió del deure de socors
51,Malversació
52,Prevaricació de funcionaris públics
53,Contra l'ordenació del territori
54,Assassinat consumat
55,Relatius a la prostitució
56,Faltes contra el patrimoni
57,Propietat intel·lectual
58,Realització arbitrària del propi dret
59,Tràfic d'éssers humans
60,Risc catastròfic
61,Insolvències punibles
62,"Contra la llibertat de consciència, religió i respecte als difunts"
63,Tràfic d'influències
64,Infidelitat en la custòdia de documents i violació de secrets
65,Segrest
66,Frustració d'execució
67,Corrupció als negocis
68,Encobriment
69,Contra les institucions de l'Estat i divisió de poders
70,"Reunió, manifestació il·lícita"
71,Contra els drets de ciutadans estrangers
72,Prevaricació
73,Fals testimoni
74,Assassinat temptativa
75,Mercat i consumidors
76,Violació de secrets
77,Administració deslleial
78,Fraus i exaccions il·legals
79,Omissió dels deures d'impedir delictes
80,Desobediència i denegació d'auxili
81,Lesions al fetus
82,Inducció i cooperació al suïcidi
83,Suborn
84,Sostracció de cosa pròpia d'utilitat social
85,Avortament
86,Associació il·lícita
87,Defraudacions
88,Societaris
89,Manipulació genètica
90,Contra el patrimoni
91,Faltes contra les persones
92,Faltes contra els interessos generals
93,Tortures
94,Propietat industrial i intel·lectual
95,"Contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili"
96,Negociacions i activitats prohibides a funcionaris
97,Faltes contra l'ordre públic
98,Contra l'administració pública
99,Tortures i delictes contra la integritat moral
100,Contra l'administració de justícia
101,Contra la comunitat internacional
102,Contra la seguretat col·lectiva
103,Abandó de destí i omissió deure perseguir delictes
104,Alteració dels preus
105,Contra l'administració justícia cort penal internacional
106,Contra la llibertat sexual
107,Falsedats
