,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
0,jesus_hierro,Jesús Hierro,169142358,1218673321962803200,/jesus_hierro/status/1218673321962803200,2020-01-18 23:15:36,1579389336,Nuevo crimen machista. Un mosso mata a su exmujer en Terrassa y luego se suicida. Lo contamos en @ABC_Barcelona https://twitter.com/ABC_Barcelona/status/1218671871736139777 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""es"">Nuevo <strong>crimen</strong> machista. Un mosso mata a su exmujer en Terrassa y luego se suicida. Lo contamos en <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""212309697"" dir=""ltr"" href=""/ABC_Barcelona""><s>@</s><b>ABC_<strong>Barcelona</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/ABC_Barcelona/status/1218671871736139777"" dir=""ltr"" href=""https://t.co/odiPBeWRPV"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/ABC_Barcelona/status/1218671871736139777""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/ABC_Barcelona/</span><span class=""invisible"">status/1218671871736139777</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/ABC_Barcelona/status/1218671871736139777'],[],False,[],,0,0,0,False,False,,[]
1,errajota,ERRA,365777868,1218665165438230528,/errajota/status/1218665165438230528,2020-01-18 22:43:11,1579387391,Això dels catalans sorpresos per la violència del primer d'octubre per part d'una policia que feia dies que era esperant al port de Barcelona per a estovar-los és dels fets més al·lucinants d'aquesta temps!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ca"">Això dels catalans sorpresos per la <strong>violència</strong> del primer d'octubre per part d'una policia que feia dies que era esperant al port de <strong>Barcelona</strong> per a estovar-los és dels fets més al·lucinants d'aquesta temps!</p>",[],[],False,[],,5,1,1,True,True,1218612087347347457,"[{'screen_name': 'PartitM', 'user_id': '1205123215917568000'}, {'screen_name': 'IsabelcastroG', 'user_id': '353837404'}]"
2,PobleLliure_Int,Poble Lliure Internacional 🎗,3012136695,1218627249269891073,/PobleLliure_Int/status/1218627249269891073,2020-01-18 20:12:31,1579378351," El proper divendres @LaForja_Jovent celebra un acte en suport al Dani Gallardo a La Model de #Barcelona.

 Amb @Alfon_libertad, @AntirrepreMad, @YescaCastilla, @Detingudes23S i @assemblea. 

 La solidaritat entre pobles no és delicte! #DaniLlibertatpic.twitter.com/qINr18EFhr","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ca""><img alt=""🗓️"" aria-label=""Emoji: Calendario espiralado"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f5d3.png"" title=""Calendario espiralado""/> El proper divendres <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""3575132194"" dir=""ltr"" href=""/LaForja_Jovent""><s>@</s><b>LaForja_Jovent</b></a> celebra un acte en suport al Dani Gallardo a La Model de <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Barcelona?src=hash""><s>#</s><b><strong>Barcelona</strong></b></a>.

<img alt=""👉🏽"" aria-label=""Emoji: Dorso de la mano con el dedo índice señalando hacia la derecha (tono de piel medio)"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f449-1f3fd.png"" title=""Dorso de la mano con el dedo índice señalando hacia la derecha (tono de piel medio)""/> Amb <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""985895947"" dir=""ltr"" href=""/Alfon_libertad""><s>@</s><b>Alfon_libertad</b></a>, <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1018489517546917888"" dir=""ltr"" href=""/AntirrepreMad""><s>@</s><b>AntirrepreMad</b></a>, <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""213824084"" dir=""ltr"" href=""/YescaCastilla""><s>@</s><b>YescaCastilla</b></a>, <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1176602318978129921"" dir=""ltr"" href=""/Detingudes23S""><s>@</s><b>Detingudes23S</b></a> i <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""256025198"" dir=""ltr"" href=""/assemblea""><s>@</s><b>assemblea</b></a>. 

<img alt=""✨"" aria-label=""Emoji: Destellos"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/2728.png"" title=""Destellos""/><img alt=""✊🏼"" aria-label=""Emoji: Puño alzado (tono de piel medio-claro)"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/270a-1f3fc.png"" title=""Puño alzado (tono de piel medio-claro)""/> La solidaritat entre pobles no és <strong>delicte</strong>! <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/DaniLlibertat?src=hash""><s>#</s><b>DaniLlibertat</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/qINr18EFhr"">pic.twitter.com/qINr18EFhr</a></p>",[],"['Barcelona', 'DaniLlibertatpic']",True,['https://pbs.twimg.com/media/EOlvAhYVUAAumt_.jpg'],,34,25,0,False,False,,[]
3,realdream132,⚽️Realdream13⚽️,1117873540857061376,1218621475143528448,/realdream132/status/1218621475143528448,2020-01-18 19:49:35,1579376975,Que le venda algún jugador más al Barcelona y se lo niegue al Madrid. De la misma rama que el Violencia. Pues en dos semanas los dos lloriqueando,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Que le venda algún jugador más al <strong>Barcelona</strong> y se lo niegue al Madrid. De la misma rama que el <strong>Violencia</strong>. Pues en dos semanas los dos lloriqueando</p>",[],[],False,[],,1,0,1,True,True,1218584598466256896,"[{'screen_name': 'kusto2013', 'user_id': '108146919'}, {'screen_name': 'MovistarFutbol', 'user_id': '380960011'}]"
4,imantosh,Imanol Atchet ,238227554,1218618208019795968,/imantosh/status/1218618208019795968,2020-01-18 19:36:36,1579376196,I'm at @RazzmatazzClubs for Toy Dolls and Crim in Barcelona https://www.swarmapp.com/c/erxUeRmMXji ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I'm at <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""25271295"" dir=""ltr"" href=""/RazzmatazzClubs""><s>@</s><b>RazzmatazzClubs</b></a> for Toy Dolls and <strong>Crim</strong> in <strong>Barcelona</strong> <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.swarmapp.com/c/erxUeRmMXji"" dir=""ltr"" href=""https://t.co/bN8pmiohjp"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.swarmapp.com/c/erxUeRmMXji""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">swarmapp.com/c/erxUeRmMXji</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['https://www.swarmapp.com/c/erxUeRmMXji'],[],False,[],,0,0,0,False,False,,[]
5,laforja_bem,La Forja - Baix Empordà,996482741918199815,1218617683089989633,/laforja_bem/status/1218617683089989633,2020-01-18 19:34:31,1579376071," El proper divendres celebrem un acte en suport al Dani Gallardo a La Model de #Barcelona.

 Amb @Alfon_libertad, @AntirrepreMad, @YescaCastilla, @Detingudes23S i @assemblea. 

 La solidaritat entre pobles no és delicte! #DaniLlibertatpic.twitter.com/XvOnQtBYzT","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ca""><img alt=""🗓️"" aria-label=""Emoji: Calendario espiralado"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f5d3.png"" title=""Calendario espiralado""/> El proper divendres celebrem un acte en suport al Dani Gallardo a La Model de <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Barcelona?src=hash""><s>#</s><b><strong>Barcelona</strong></b></a>.

<img alt=""👉🏽"" aria-label=""Emoji: Dorso de la mano con el dedo índice señalando hacia la derecha (tono de piel medio)"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f449-1f3fd.png"" title=""Dorso de la mano con el dedo índice señalando hacia la derecha (tono de piel medio)""/> Amb <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""985895947"" dir=""ltr"" href=""/Alfon_libertad""><s>@</s><b>Alfon_libertad</b></a>, <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1018489517546917888"" dir=""ltr"" href=""/AntirrepreMad""><s>@</s><b>AntirrepreMad</b></a>, <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""213824084"" dir=""ltr"" href=""/YescaCastilla""><s>@</s><b>YescaCastilla</b></a>, <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1176602318978129921"" dir=""ltr"" href=""/Detingudes23S""><s>@</s><b>Detingudes23S</b></a> i <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""256025198"" dir=""ltr"" href=""/assemblea""><s>@</s><b>assemblea</b></a>. 

<img alt=""✨"" aria-label=""Emoji: Destellos"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/2728.png"" title=""Destellos""/><img alt=""✊🏼"" aria-label=""Emoji: Puño alzado (tono de piel medio-claro)"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/270a-1f3fc.png"" title=""Puño alzado (tono de piel medio-claro)""/> La solidaritat entre pobles no és <strong>delicte</strong>! <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/DaniLlibertat?src=hash""><s>#</s><b>DaniLlibertat</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/XvOnQtBYzT"">pic.twitter.com/XvOnQtBYzT</a></p>",[],"['Barcelona', 'DaniLlibertatpic']",True,['https://pbs.twimg.com/media/EOlmT3PVUAABih3.jpg'],,9,5,0,False,False,,[]
6,noticias_cpnb,NOTICIAS CPNB,1217534978403323905,1218608825076457473,/noticias_cpnb/status/1218608825076457473,2020-01-18 18:59:19,1579373959,"Tras recibir una denuncia funcionarios adscritos al servicio de Investigación Penal del @CPNB_VE aprehendieron a Baldony Flores (50) y José Guerra (40) por el delito de hurto, en el sector La Orquídea de Barcelona #Anzoáteguipic.twitter.com/JnfPSYJdX8","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Tras recibir una denuncia funcionarios adscritos al servicio de Investigación Penal del <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1601574020"" dir=""ltr"" href=""/CPNB_VE""><s>@</s><b>CPNB_VE</b></a> aprehendieron a Baldony Flores (50) y José Guerra (40) por el <strong>delito</strong> de hurto, en el sector La Orquídea de <strong>Barcelona</strong> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Anzo%C3%A1tegui?src=hash""><s>#</s><b>Anzoátegui</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/JnfPSYJdX8"">pic.twitter.com/JnfPSYJdX8</a></p>",[],['Anzoáteguipic'],True,['https://pbs.twimg.com/media/EOleLKgU8AAm3WA.jpg'],,4,2,0,False,False,,[]
7,bcnmonforte,Demetrio Vázquez,407626686,1218601449434832896,/bcnmonforte/status/1218601449434832896,2020-01-18 18:30:00,1579372200,"Violencia en Cataluña. 
Nuevo sabotaje.
Un tren choca contra una barra de hormigón cerca de Tordera (Maresme), provincia de Barcelona. https://www.elperiodico.com/es/sociedad/20200118/sabotaje-rodalies-r1-7811790 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es""><strong>Violencia</strong> en Cataluña. 
Nuevo sabotaje.
Un tren choca contra una barra de hormigón cerca de Tordera (Maresme), provincia de <strong>Barcelona</strong>. <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.elperiodico.com/es/sociedad/20200118/sabotaje-rodalies-r1-7811790"" dir=""ltr"" href=""https://t.co/YFhdt2QTLP"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.elperiodico.com/es/sociedad/20200118/sabotaje-rodalies-r1-7811790""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">elperiodico.com/es/sociedad/20</span><span class=""invisible"">200118/sabotaje-rodalies-r1-7811790</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.elperiodico.com/es/sociedad/20200118/sabotaje-rodalies-r1-7811790'],[],False,[],,0,2,0,False,False,,[]
8,terapiaviartis,Terapia Viartis,827427234214473729,1218587941729116160,/terapiaviartis/status/1218587941729116160,2020-01-18 17:36:20,1579368980,"""Mis padres me educaron con castigos y no quiero repetirlo con mis hijos.""

Cómo transformar la #violencia aprendida en #terapia
#Psicología #Barcelona #ViolenciaMachista #maltrato #CNVhttp://terapiaviartis.com/transformar-la-violencia-aprendida/ …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">""Mis padres me educaron con castigos y no quiero repetirlo con mis hijos.""

Cómo transformar la <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/violencia?src=hash""><s>#</s><b><strong>violencia</strong></b></a> aprendida en <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/terapia?src=hash""><s>#</s><b>terapia</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Psicolog%C3%ADa?src=hash""><s>#</s><b>Psicología</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Barcelona?src=hash""><s>#</s><b><strong>Barcelona</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ViolenciaMachista?src=hash""><s>#</s><b>ViolenciaMachista</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/maltrato?src=hash""><s>#</s><b>maltrato</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/CNV?src=hash""><s>#</s><b>CNV</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""http://terapiaviartis.com/transformar-la-violencia-aprendida/"" dir=""ltr"" href=""https://t.co/qfq9mIFUKJ"" rel=""nofollow noopener"" target=""_blank"" title=""http://terapiaviartis.com/transformar-la-violencia-aprendida/""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">terapiaviartis.com/transformar-la</span><span class=""invisible"">-violencia-aprendida/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['http://terapiaviartis.com/transformar-la-violencia-aprendida/'],"['violencia', 'terapia', 'Psicología', 'Barcelona', 'ViolenciaMachista', 'maltrato', 'CNVhttp']",False,[],,0,1,0,False,False,,[]
9,Signatuss,Signatus🍊,915281459556093953,1218556911332790273,/Signatuss/status/1218556911332790273,2020-01-18 15:33:02,1579361582,"Lo bonita que es Barcelona y se la está asociando a delincuencia, prostitución, violencia callejera, separatismo, suciedad (lazos plásticos) por culpa de sus gobernantes tanto municipales como autonómicos, todos ellos contando con el beneplácito del presidente del gobierno.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Lo bonita que es <strong>Barcelona</strong> y se la está asociando a <strong>delincuencia</strong>, prostitución, <strong>violencia</strong> callejera, separatismo, suciedad (lazos plásticos) por culpa de sus gobernantes tanto municipales como autonómicos, todos ellos contando con el beneplácito del presidente del gobierno.</p>",[],[],False,[],,5,0,1,True,True,1218533523696603137,"[{'screen_name': 'ReinaSonia', 'user_id': '193292900'}, {'screen_name': 'paubarbut07', 'user_id': '1054729737254379521'}]"
