;type_of_crime;year;month;date;number_of_crimes;cum_sum
0;Abusos sexuals;2012;1;2012-01-01;7.0;0.4
1;Abusos sexuals;2012;2;2012-02-01;19.0;2.1142857142857143
2;Abusos sexuals;2012;3;2012-03-01;11.0;1.693233082706767
3;Abusos sexuals;2012;4;2012-04-01;11.0;1.693233082706767
4;Abusos sexuals;2012;5;2012-05-01;11.0;1.693233082706767
5;Abusos sexuals;2012;6;2012-06-01;14.0;1.9659603554340397
6;Abusos sexuals;2012;7;2012-07-01;23.0;2.6088174982911827
7;Abusos sexuals;2012;8;2012-08-01;14.0;2.217513150465096
8;Abusos sexuals;2012;9;2012-09-01;15.0;2.2889417218936674
9;Abusos sexuals;2012;10;2012-10-01;18.0;2.4889417218936676
10;Abusos sexuals;2012;11;2012-11-01;14.0;2.2667194996714453
11;Abusos sexuals;2012;12;2012-12-01;13.0;2.1952909282428736
12;Abusos sexuals;2013;1;2013-01-01;11.0;2.04144477439672
13;Abusos sexuals;2013;2;2013-02-01;9.0;1.859626592578538
14;Abusos sexuals;2013;3;2013-03-01;14.0;2.4151821481340936
15;Abusos sexuals;2013;4;2013-04-01;10.0;2.129467862419808
16;Abusos sexuals;2013;5;2013-05-01;15.0;2.629467862419808
17;Abusos sexuals;2013;6;2013-06-01;24.0;3.229467862419808
18;Abusos sexuals;2013;7;2013-07-01;23.0;3.1878011957531416
19;Abusos sexuals;2013;8;2013-08-01;11.0;2.666062065318359
20;Abusos sexuals;2013;9;2013-09-01;17.0;3.2115166107729043
21;Abusos sexuals;2013;10;2013-10-01;18.0;3.270340140184669
22;Abusos sexuals;2013;11;2013-11-01;22.0;3.492562362406891
23;Abusos sexuals;2013;12;2013-12-01;19.0;3.356198726043255
24;Abusos sexuals;2014;1;2014-01-01;14.0;3.093040831306413
25;Abusos sexuals;2014;2;2014-02-01;18.0;3.3787551170206984
26;Abusos sexuals;2014;3;2014-03-01;22.0;3.6009773392429207
27;Abusos sexuals;2014;4;2014-04-01;17.0;3.3737046119701937
